"Report File:","D:\Dropbox\DesignSpark\Projects\EnactiveTorch\ET4_0\SensorHead_SharpIR1 (Bill Of Materials).csv"
"Report Written:","Friday, September 09, 2016"
"Project Path:","D:\Dropbox\DesignSpark\Projects\EnactiveTorch\ET4_0\SensorHead_SharpIR1.prj"
"Design Path:","D:\Dropbox\DesignSpark\Projects\EnactiveTorch\ET4_0\SensorHead_SharpIR1.pcb"
"Design Title:",""
"Created:","01/09/2016 15:29:36"
"Last Saved:","08/09/2016 22:27:25"
"Editing Time:","452 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"CONN1","1","2x5 header smd","","SM","","","","",""
"C1","1","C0805","0.1uf","SM","","","","",""
"C2","1","C0805","0.1uf","SM","","","","",""
"C5","1","C0805","0.1uf","SM","","","","",""
"C3","1","C0805","0.01","SM","","","","",""
"C4","1","C0805","1uf","SM","","","","",""
"C6","1","C0805","4.7uf","SM","","","","",""
"C7","1","C1210","10uf","SM","","","","",""
"C8","1","C1210","10uf","SM","","","","",""
"LED1","1","LEDx","LED 5MM RED","DSC","","","","","Light Em Di"
"PD1","1","LEDx","LED 5MM RED","DSC","","","","","Light Em Di"
"Q1","1","NPN Transistor SMD","","SML","","","","","2n2222 or 3904"
"R5","1","R0805","1","SM","","","","",""
"R7","1","R0805","1k","SM","","","","",""
"R2","1","R0805","1.2","SM","","","","",""
"R1","1","R0805","1.2","SM","","","","",""
"R4","1","R0805","10k","SM","","","","",""
"R6","1","R0805","20R","SM","","","","",""
"R8","1","R0805","20R","SM","","","","",""
"R3","1","R0805","36k","SM","","","","",""
"SNSR1","1","Sharp GP2Y0A60SZ0F","","SM","","","","","GP2Y0A60SZ0F Ranger"
